game_date,round,region,winning_seed,winner,winning_score,losing_seed,loser,losing_score,overtime
479624400000,Round of 64,East,1,Georgetown,68,16,Lehigh,43,
479624400000,Round of 64,East,4,"Loyola, Illinois",59,13,Iona,58,
479624400000,Round of 64,East,5,Southern Methodist,85,12,Old Dominion,68,
479624400000,Round of 64,East,8,Temple,60,9,Virginia Tech,57,
479624400000,Round of 64,Midwest,1,Oklahoma,96,16,North Carolina A&T,83,
479624400000,Round of 64,Midwest,4,Ohio State,75,13,Iowa State,64,
479624400000,Round of 64,Midwest,5,Louisiana Tech,78,12,Pittsburgh,54,
479624400000,Round of 64,Midwest,9,Illinois State,58,8,Southern California,55,
479624400000,Round of 64,Southeast,2,North Carolina,76,15,Middle Tennessee State,57,
479624400000,Round of 64,Southeast,3,Kansas,49,14,Ohio,38,
479624400000,Round of 64,Southeast,7,Notre Dame,79,10,Oregon State,70,
479624400000,Round of 64,Southeast,11,Auburn,59,6,Purdue,58,
479624400000,Round of 64,West,1,"St. John's, New York",83,16,Southern,59,
479624400000,Round of 64,West,4,Nevada-Las Vegas,85,13,San Diego State,80,
479624400000,Round of 64,West,9,Arkansas,63,8,Iowa,54,
479624400000,Round of 64,West,12,Kentucky,66,5,Washington,58,
479710800000,Round of 64,East,2,Georgia Tech,65,15,Mercer,58,
479710800000,Round of 64,East,3,Illinois,76,14,Northeastern,57,
479710800000,Round of 64,East,6,Georgia,67,11,Wichita State,59,
479710800000,Round of 64,East,7,Syracuse,70,10,DePaul,65,
479710800000,Round of 64,Midwest,2,Memphis,67,15,Pennsylvania,55,
479710800000,Round of 64,Midwest,3,Duke,75,14,Pepperdine,62,
479710800000,Round of 64,Midwest,7,UAB,70,10,Michigan State,68,
479710800000,Round of 64,Midwest,11,Boston College,55,6,Texas Tech,53,
479710800000,Round of 64,Southeast,1,Michigan,59,16,Fairleigh Dickinson,55,
479710800000,Round of 64,Southeast,5,Maryland,69,12,"Miami, Ohio",68,1 OT
479710800000,Round of 64,Southeast,8,Villanova,51,9,Dayton,49,
479710800000,Round of 64,Southeast,13,Navy,78,4,Louisiana State,55,
479710800000,Round of 64,West,2,Virginia Commonwealth,81,15,Marshall,65,
479710800000,Round of 64,West,3,North Carolina State,65,14,Nevada,56,
479710800000,Round of 64,West,7,Alabama,50,10,Arizona,41,
479710800000,Round of 64,West,11,Texas-El Paso,79,6,Tulsa,75,
479797200000,Round of 32,East,1,Georgetown,63,8,Temple,46,
479797200000,Round of 32,East,4,"Loyola, Illinois",70,5,Southern Methodist,57,
479797200000,Round of 32,Midwest,1,Oklahoma,75,9,Illinois State,69,
479797200000,Round of 32,Midwest,5,Louisiana Tech,79,4,Ohio State,67,
479797200000,Round of 32,Southeast,2,North Carolina,60,7,Notre Dame,58,
479797200000,Round of 32,Southeast,11,Auburn,66,3,Kansas,64,
479797200000,Round of 32,West,1,"St. John's, New York",68,9,Arkansas,65,
479797200000,Round of 32,West,12,Kentucky,64,4,Nevada-Las Vegas,61,
479883600000,Round of 32,East,2,Georgia Tech,70,7,Syracuse,53,
479883600000,Round of 32,East,3,Illinois,74,6,Georgia,58,
479883600000,Round of 32,Midwest,2,Memphis,67,7,UAB,66,1 OT
479883600000,Round of 32,Midwest,11,Boston College,74,3,Duke,73,
479883600000,Round of 32,Southeast,5,Maryland,64,13,Navy,59,
479883600000,Round of 32,Southeast,8,Villanova,59,1,Michigan,55,
479883600000,Round of 32,West,3,North Carolina State,86,11,Texas-El Paso,73,
479883600000,Round of 32,West,7,Alabama,63,2,Virginia Commonwealth,59,
480229200000,Sweet Sixteen,East,1,Georgetown,65,4,"Loyola, Illinois",53,
480229200000,Sweet Sixteen,East,2,Georgia Tech,61,3,Illinois,53,
480229200000,Sweet Sixteen,Midwest,1,Oklahoma,86,5,Louisiana Tech,84,1 OT
480229200000,Sweet Sixteen,Midwest,2,Memphis,59,11,Boston College,57,
480315600000,Sweet Sixteen,Southeast,2,North Carolina,62,11,Auburn,56,
480315600000,Sweet Sixteen,Southeast,8,Villanova,46,5,Maryland,43,
480315600000,Sweet Sixteen,West,1,"St. John's, New York",86,12,Kentucky,70,
480315600000,Sweet Sixteen,West,3,North Carolina State,61,7,Alabama,55,
480402000000,Elite Eight,East,1,Georgetown,60,2,Georgia Tech,54,
480402000000,Elite Eight,Midwest,2,Memphis,63,1,Oklahoma,61,
480488400000,Elite Eight,Southeast,8,Villanova,56,2,North Carolina,44,
480488400000,Elite Eight,West,1,"St. John's, New York",69,3,North Carolina State,60,
481006800000,National Semifinals,National Semifinals,1,Georgetown,77,1,"St. John's, New York",59,
481006800000,National Semifinals,National Semifinals,8,Villanova,52,2,Memphis,45,
481179600000,National Championship,National Championship,8,Villanova,66,1,Georgetown,64,
511074000000,Round of 64,East,1,Duke,85,16,Mississippi Valley,78,
511074000000,Round of 64,East,4,Oklahoma,80,13,Northeastern,74,
511074000000,Round of 64,East,8,Old Dominion,72,9,West Virginia,64,
511074000000,Round of 64,East,12,DePaul,72,5,Virginia,68,
511074000000,Round of 64,Midwest,1,Kansas,71,16,North Carolina A&T,46,
511074000000,Round of 64,Midwest,4,Georgetown,70,13,Texas Tech,64,
511074000000,Round of 64,Midwest,5,Michigan State,72,12,Washington,70,
511074000000,Round of 64,Midwest,9,Temple,61,8,Jacksonville,50,1 OT
511074000000,Round of 64,Southeast,2,Georgia Tech,68,15,Marist,53,
511074000000,Round of 64,Southeast,3,Memphis,95,14,Ball State,63,
511074000000,Round of 64,Southeast,10,Villanova,71,7,Virginia Tech,62,
511074000000,Round of 64,Southeast,11,Louisiana State,94,6,Purdue,87,2 OT
511074000000,Round of 64,West,2,Louisville,93,15,Drexel,73,
511074000000,Round of 64,West,3,North Carolina,84,14,Utah,72,
511074000000,Round of 64,West,6,UAB,66,11,Missouri,64,
511074000000,Round of 64,West,7,Bradley,83,10,Texas-El Paso,65,
511160400000,Round of 64,East,2,Syracuse,101,15,Brown,52,
511160400000,Round of 64,East,6,"St. Joseph's, Pennsylvania",60,11,Richmond,59,
511160400000,Round of 64,East,7,Navy,87,10,Tulsa,68,
511160400000,Round of 64,East,14,Cleveland State,83,3,Indiana,79,
511160400000,Round of 64,Midwest,2,Michigan,70,15,Akron,64,
511160400000,Round of 64,Midwest,6,North Carolina State,66,11,Iowa,64,
511160400000,Round of 64,Midwest,7,Iowa State,81,10,"Miami, Ohio",79,1 OT
511160400000,Round of 64,Midwest,14,Arkansas-Little Rock,90,3,Notre Dame,83,
511160400000,Round of 64,Southeast,1,Kentucky,75,16,Davidson,55,
511160400000,Round of 64,Southeast,4,Illinois,75,13,Fairfield,51,
511160400000,Round of 64,Southeast,5,Alabama,97,12,"Xavier, Ohio",80,
511160400000,Round of 64,Southeast,8,Western Kentucky,67,9,Nebraska,59,
